,ACC,F1,F2,GMean,SEN,PREC,SPEC,MCC,AUC,AUPR
Boruta_XGBoost,0.8951048951048951,0.5631067961165049,0.728643216080402,0.9002081343436855,0.90625,0.4084507042253521,0.8942065491183879,0.5658969029285057,0.9460012594458438,0.742463878611713
Boruta_RF,0.9067599067599068,0.5744680851063829,0.7105263157894736,0.8771339577560924,0.84375,0.43548387096774194,0.9118387909319899,0.5645817977209695,0.9398221032745593,0.6534498258018068
Boruta_ET,0.9020979020979021,0.58,0.7397959183673468,0.9040038284843476,0.90625,0.4264705882352941,0.9017632241813602,0.5812736736528105,0.9456863979848866,0.6789392996258576
Boruta_GBDT,0.8881118881118881,0.5555555555555556,0.7352941176470589,0.9104245141524767,0.9375,0.39473684210526316,0.8841309823677582,0.5653962206374549,0.9393104534005038,0.5544435084379549
MRMD_XGBoost,0.8764568764568764,0.5137614678899082,0.6829268292682927,0.8757867999071964,0.875,0.36363636363636365,0.8765743073047859,0.5145475011914525,0.945528967254408,0.7196942956794583
MRMD_RF,0.8904428904428905,0.5436893203883495,0.7035175879396985,0.8833044210530644,0.875,0.39436619718309857,0.8916876574307305,0.542023388191921,0.9389168765743073,0.652368169128732
MRMD_ET,0.8904428904428905,0.5252525252525252,0.6666666666666666,0.8535744962537902,0.8125,0.3880597014925373,0.8967254408060453,0.5132900691097502,0.941632556675063,0.6250114116279353
MRMD_GBDT,0.8578088578088578,0.48739495798319327,0.6744186046511628,0.8796878740027659,0.90625,0.3333333333333333,0.853904282115869,0.496705889522894,0.9205761964735516,0.6421576613566798
XGB_XGBoost,0.8857808857808858,0.5420560747663551,0.7142857142857143,0.8951221719803286,0.90625,0.38666666666666666,0.8841309823677582,0.546731959858298,0.9545025188916876,0.7471705763631582
XGB_RF,0.8927738927738927,0.5490196078431373,0.7070707070707071,0.8845511463327541,0.875,0.4,0.8942065491183879,0.5469113942304296,0.941514483627204,0.6620928176642961
XGB_ET,0.9044289044289044,0.5591397849462365,0.6878306878306877,0.8607374847375022,0.8125,0.4262295081967213,0.9118387909319899,0.5449079693264427,0.9406486146095718,0.6732145760167483
XGB_GBDT,0.8578088578088578,0.4786324786324786,0.6572769953051644,0.8656617567376333,0.875,0.32941176470588235,0.8564231738035264,0.4821145899096755,0.9334068010075566,0.7107660284063047
